,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
29,2022-01-15,21:00,Ligue 1,Journée 21,Sam,Domicile,V,2,0,Brest,2.4,0.9,68.0,4925.0,Marquinhos,4-3-3,Mikael Lesage,Rapport de match,,15.3,0.0,0.0,0.0,2.0,20.0,8.0,40.0,0.1,0.25,2022,ParisSaintGermain
30,2022-01-23,20:45,Ligue 1,Journée 22,Dim,Domicile,V,4,0,Reims,2.7,0.5,68.0,5000.0,Marquinhos,4-3-3,Eric Wattellier,Rapport de match,,14.7,0.0,0.0,0.0,4.0,22.0,7.0,31.8,0.18,0.57,2022,ParisSaintGermain
32,2022-02-06,20:45,Ligue 1,Journée 23,Dim,Extérieur,V,5,1,Lille,2.9,1.0,58.0,48437.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,17.4,2.0,0.0,0.0,5.0,18.0,7.0,38.9,0.28,0.71,2022,ParisSaintGermain
33,2022-02-11,21:00,Ligue 1,Journée 24,Ven,Domicile,V,1,0,Rennes,1.0,0.7,63.0,47000.0,Marquinhos,4-3-3,Benoît Bastien,Rapport de match,,16.3,0.0,0.0,0.0,1.0,12.0,1.0,8.3,0.08,1.0,2022,ParisSaintGermain
35,2022-02-19,21:00,Ligue 1,Journée 25,Sam,Extérieur,D,1,3,Nantes,3.9,2.2,71.0,35500.0,Marquinhos,4-3-3,Mikael Lesage,Rapport de match,,12.7,1.0,0.0,1.0,1.0,15.0,8.0,53.3,0.07,0.13,2022,ParisSaintGermain
36,2022-02-26,21:00,Ligue 1,Journée 26,Sam,Domicile,V,3,1,Saint-Étienne,2.3,0.9,63.0,45000.0,Marquinhos,4-3-3,Pierre Gaillouste,Rapport de match,,17.3,3.0,0.0,0.0,3.0,21.0,8.0,38.1,0.14,0.38,2022,ParisSaintGermain
37,2022-03-05,21:00,Ligue 1,Journée 27,Sam,Extérieur,D,0,1,Nice,0.7,0.7,58.0,31949.0,Marquinhos,4-3-3,Willy Delajod,Rapport de match,,17.0,0.0,0.0,0.0,0.0,8.0,2.0,25.0,0.0,0.0,2022,ParisSaintGermain
39,2022-03-13,13:00,Ligue 1,Journée 28,Dim,Domicile,V,3,0,Bordeaux,1.7,0.7,57.0,44000.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,18.8,1.0,0.0,0.0,3.0,12.0,3.0,25.0,0.25,1.0,2022,ParisSaintGermain
40,2022-03-20,13:00,Ligue 1,Journée 29,Dim,Extérieur,D,0,3,Monaco,1.3,1.9,60.0,16642.0,Marquinhos,4-3-3,Benoît Bastien,Rapport de match,,17.7,1.0,0.0,0.0,0.0,13.0,5.0,38.5,0.0,0.0,2022,ParisSaintGermain
41,2022-04-03,20:45,Ligue 1,Journée 30,Dim,Domicile,V,5,1,Lorient,1.7,1.0,66.0,40000.0,Marquinhos,4-3-3,Hakim Ben El Hadj Salem,Rapport de match,,16.6,1.0,0.0,0.0,5.0,15.0,7.0,46.7,0.33,0.71,2022,ParisSaintGermain
42,2022-04-09,21:00,Ligue 1,Journée 31,Sam,Extérieur,V,6,1,Clermont Foot,3.4,1.2,63.0,12264.0,Presnel Kimpembe,4-3-3,Eric Wattellier,Rapport de match,,17.2,0.0,1.0,1.0,6.0,16.0,10.0,62.5,0.31,0.5,2022,ParisSaintGermain
43,2022-04-17,20:45,Ligue 1,Journée 32,Dim,Domicile,V,2,1,Marseille,1.3,0.8,43.0,46000.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,19.1,2.0,1.0,1.0,2.0,6.0,2.0,33.3,0.17,0.5,2022,ParisSaintGermain
44,2022-04-20,21:00,Ligue 1,Journée 33,Mer,Extérieur,V,3,0,Angers,1.5,0.8,58.0,13000.0,Marquinhos,3-5-2,Johan Hamel,Rapport de match,,17.9,0.0,0.0,0.0,3.0,16.0,9.0,56.3,0.19,0.33,2022,ParisSaintGermain
