,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
16,2020-12-23,19:00,Ligue 1,Journée 17,Mer,Domicile,D,1,3,Reims,1.2,1.4,62.0,,Benoît Costil,4-2-3-1,Jérôme Brisard,Rapport de match,,17.1,1.0,0.0,0.0,1.0,9.0,3.0,33.3,0.11,0.33,2021,Bordeaux
17,2021-01-06,19:00,Ligue 1,Journée 18,Mer,Extérieur,N,0,0,Metz,1.0,0.7,57.0,,Benoît Costil,4-2-3-1,Antony Gautier,Rapport de match,,18.5,1.0,0.0,0.0,0.0,12.0,3.0,25.0,0.0,0.0,2021,Bordeaux
18,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Domicile,V,2,1,Lorient,1.4,1.3,48.0,,Laurent Koscielny,4-2-3-1,Willy Delajod,Rapport de match,,15.0,0.0,0.0,0.0,2.0,15.0,6.0,40.0,0.13,0.33,2021,Bordeaux
19,2021-01-17,15:00,Ligue 1,Journée 20,Dim,Extérieur,V,3,0,Nice,1.9,0.7,51.0,,Laurent Koscielny,4-1-4-1,Thomas Léonard,Rapport de match,,15.5,0.0,0.0,0.0,3.0,17.0,9.0,52.9,0.18,0.33,2021,Bordeaux
20,2021-01-24,13:00,Ligue 1,Journée 21,Dim,Domicile,V,2,1,Angers,0.8,1.7,46.0,,Laurent Koscielny,4-2-3-1,Florent Batta,Rapport de match,,15.4,0.0,0.0,0.0,2.0,7.0,3.0,42.9,0.29,0.67,2021,Bordeaux
21,2021-01-29,21:00,Ligue 1,Journée 22,Ven,Extérieur,D,1,2,Lyon,1.1,1.3,44.0,,Laurent Koscielny,4-2-3-1,Clément Turpin,Rapport de match,,18.3,0.0,0.0,0.0,1.0,12.0,2.0,16.7,0.08,0.5,2021,Bordeaux
22,2021-02-03,19:00,Ligue 1,Journée 23,Mer,Domicile,D,0,3,Lille,0.9,2.1,54.0,,Laurent Koscielny,4-2-3-1,Mikael Lesage,Rapport de match,,14.7,0.0,0.0,0.0,0.0,10.0,4.0,40.0,0.0,0.0,2021,Bordeaux
23,2021-02-07,13:00,Ligue 1,Journée 24,Dim,Extérieur,D,1,2,Brest,1.0,2.6,52.0,,Laurent Koscielny,4-2-3-1,Eric Wattellier,Rapport de match,,19.5,0.0,0.0,0.0,1.0,8.0,4.0,50.0,0.13,0.25,2021,Bordeaux
25,2021-02-14,21:00,Ligue 1,Journée 25,Dim,Domicile,N,0,0,Marseille,1.3,0.2,56.0,,Laurent Koscielny,4-3-3,Jérôme Brisard,Rapport de match,,16.6,1.0,0.0,0.0,0.0,18.0,1.0,5.6,0.0,0.0,2021,Bordeaux
26,2021-02-21,15:00,Ligue 1,Journée 26,Dim,Extérieur,D,0,2,Nîmes,1.2,0.4,70.0,,Laurent Koscielny,4-2-3-1,Willy Delajod,Rapport de match,,18.6,2.0,0.0,0.0,0.0,11.0,4.0,36.4,0.0,0.0,2021,Bordeaux
27,2021-02-27,13:00,Ligue 1,Journée 27,Sam,Domicile,D,1,2,Metz,0.7,1.7,51.0,,Laurent Koscielny,3-5-2,Aurélien Petit,Rapport de match,,16.7,0.0,0.0,0.0,1.0,8.0,1.0,12.5,0.13,1.0,2021,Bordeaux
28,2021-03-03,21:00,Ligue 1,Journée 28,Mer,Domicile,D,0,1,Paris S-G,0.6,0.9,43.0,,Laurent Koscielny,3-4-3,Franck Schneider,Rapport de match,,16.8,0.0,0.0,0.0,0.0,11.0,2.0,18.2,0.0,0.0,2021,Bordeaux
29,2021-03-14,15:00,Ligue 1,Journée 29,Dim,Extérieur,V,3,1,Dijon,1.3,1.1,53.0,,Benoît Costil,4-4-2,Thomas Léonard,Rapport de match,,13.9,0.0,0.0,0.0,3.0,11.0,7.0,63.6,0.27,0.43,2021,Bordeaux
30,2021-03-21,15:00,Ligue 1,Journée 30,Dim,Extérieur,D,1,3,Montpellier,1.4,2.5,55.0,,Laurent Koscielny,4-3-3,Hakim Ben El Hadj Salem,Rapport de match,,18.4,0.0,0.0,0.0,1.0,13.0,3.0,23.1,0.08,0.33,2021,Bordeaux
31,2021-04-04,15:00,Ligue 1,Journée 31,Dim,Domicile,D,2,3,Strasbourg,2.0,2.1,62.0,,Laurent Koscielny,3-4-1-2,Jérôme Brisard,Rapport de match,,18.0,1.0,1.0,1.0,2.0,14.0,6.0,42.9,0.07,0.17,2021,Bordeaux
32,2021-04-11,15:00,Ligue 1,Journée 32,Dim,Extérieur,D,1,4,Saint-Étienne,1.6,2.9,63.0,,Laurent Koscielny,4-3-3,Franck Schneider,Rapport de match,,15.1,1.0,1.0,1.0,1.0,9.0,1.0,11.1,0.0,0.0,2021,Bordeaux
33,2021-04-18,17:05,Ligue 1,Journée 33,Dim,Domicile,D,0,3,Monaco,1.1,2.2,41.0,,Laurent Koscielny,3-5-2,François Letexier,Rapport de match,,15.2,0.0,0.0,0.0,0.0,7.0,1.0,14.3,0.0,0.0,2021,Bordeaux
34,2021-04-25,15:00,Ligue 1,Journée 34,Dim,Extérieur,D,1,4,Lorient,1.0,2.9,57.0,,Benoît Costil,4-1-4-1,Jérémie Pignard,Rapport de match,,19.0,2.0,0.0,0.0,1.0,13.0,7.0,53.8,0.08,0.14,2021,Bordeaux
35,2021-05-02,13:00,Ligue 1,Journée 35,Dim,Domicile,V,1,0,Rennes,0.6,0.8,46.0,,Benoît Costil,4-4-2,Antony Gautier,Rapport de match,,15.9,1.0,0.0,0.0,1.0,9.0,3.0,33.3,0.11,0.33,2021,Bordeaux
36,2021-05-08,13:00,Ligue 1,Journée 36,Sam,Extérieur,D,0,3,Nantes,1.1,1.9,51.0,,Benoît Costil,4-4-2,Benoît Millot,Rapport de match,,13.1,0.0,0.0,0.0,0.0,10.0,2.0,20.0,0.0,0.0,2021,Bordeaux
37,2021-05-16,21:00,Ligue 1,Journée 37,Dim,Domicile,V,3,0,Lens,2.3,1.1,35.0,,Benoît Costil,3-5-2,Eric Wattellier,Rapport de match,,17.1,0.0,1.0,1.0,3.0,10.0,3.0,30.0,0.2,0.67,2021,Bordeaux
38,2021-05-23,21:00,Ligue 1,Journée 38,Dim,Extérieur,V,2,1,Reims,1.2,0.8,44.0,,Laurent Koscielny,3-5-2,Jérôme Brisard,Rapport de match,,19.0,1.0,0.0,0.0,2.0,12.0,5.0,41.7,0.17,0.4,2021,Bordeaux
0,2020-08-22,17:00,Ligue 1,Journée 1,Sam,Extérieur,V,1,0,Dijon,2.1,0.5,46.0,,Ismaël Traoré,4-1-4-1,Eric Wattellier,Rapport de match,,12.3,0.0,0.0,0.0,1.0,13.0,4.0,30.8,0.08,0.25,2021,Angers
1,2020-08-30,15:00,Ligue 1,Journée 2,Dim,Domicile,D,0,2,Bordeaux,0.9,2.1,56.0,,Ismaël Traoré,4-1-4-1,Karim Abed,Rapport de match,,16.7,0.0,0.0,0.0,0.0,12.0,2.0,16.7,0.0,0.0,2021,Angers
2,2020-09-13,15:00,Ligue 1,Journée 3,Dim,Domicile,V,1,0,Reims,2.0,0.3,57.0,,Ismaël Traoré,4-1-4-1,Benoît Bastien,Rapport de match,,22.1,2.0,0.0,1.0,1.0,19.0,6.0,31.6,0.05,0.17,2021,Angers
3,2020-09-20,15:00,Ligue 1,Journée 4,Dim,Extérieur,D,1,4,Montpellier,1.0,1.3,49.0,,Ismaël Traoré,3-4-3,Stéphanie Frappart,Rapport de match,,20.1,0.0,0.0,0.0,1.0,14.0,3.0,21.4,0.07,0.33,2021,Angers
4,2020-09-27,15:00,Ligue 1,Journée 5,Dim,Domicile,V,3,2,Brest,0.8,3.1,54.0,,Ismaël Traoré,4-3-3,Jeremy Stinat,Rapport de match,,17.2,0.0,0.0,0.0,3.0,11.0,4.0,36.4,0.27,0.75,2021,Angers
5,2020-10-02,21:00,Ligue 1,Journée 6,Ven,Extérieur,D,1,6,Paris S-G,0.9,2.1,43.0,,Ismaël Traoré,3-4-3,Franck Schneider,Rapport de match,,17.2,1.0,0.0,0.0,1.0,8.0,2.0,25.0,0.13,0.5,2021,Angers
6,2020-10-18,15:00,Ligue 1,Journée 7,Dim,Domicile,N,1,1,Metz,1.1,1.2,46.0,,Ismaël Traoré,4-1-4-1,Aurélien Petit,Rapport de match,,22.1,1.0,1.0,1.0,1.0,6.0,1.0,16.7,0.0,0.0,2021,Angers
7,2020-10-23,21:00,Ligue 1,Journée 8,Ven,Extérieur,V,2,1,Rennes,1.4,1.0,37.0,,Ismaël Traoré,4-2-3-1,Jérémie Pignard,Rapport de match,,18.0,1.0,0.0,0.0,2.0,10.0,4.0,40.0,0.2,0.5,2021,Angers
8,2020-11-01,15:00,Ligue 1,Journée 9,Dim,Domicile,D,0,3,Nice,0.4,2.3,52.0,,Ismaël Traoré,4-2-3-1,Jeremy Stinat,Rapport de match,,22.0,1.0,0.0,0.0,0.0,11.0,5.0,45.5,0.0,0.0,2021,Angers
9,2020-11-08,15:00,Ligue 1,Journée 10,Dim,Extérieur,V,5,1,Nîmes,3.2,1.5,40.0,,Ismaël Traoré,4-2-3-1,Franck Schneider,Rapport de match,,17.3,1.0,1.0,1.0,5.0,15.0,7.0,46.7,0.27,0.57,2021,Angers
10,2020-11-22,17:00,Ligue 1,Journée 11,Dim,Domicile,D,0,1,Lyon,0.9,1.0,50.0,,Ismaël Traoré,4-2-3-1,Amaury Delerue,Rapport de match,,18.7,0.0,0.0,0.0,0.0,19.0,7.0,36.8,0.0,0.0,2021,Angers
11,2020-11-29,15:00,Ligue 1,Journée 12,Dim,Extérieur,V,3,1,Lens,2.5,1.4,36.0,,Ismaël Traoré,4-2-3-1,Aurélien Petit,Rapport de match,,17.3,0.0,0.0,0.0,3.0,18.0,7.0,38.9,0.17,0.43,2021,Angers
12,2020-12-06,15:00,Ligue 1,Journée 13,Dim,Domicile,V,2,0,Lorient,1.9,0.6,48.0,,Ismaël Traoré,4-2-3-1,Thomas Léonard,Rapport de match,,22.7,1.0,0.0,0.0,2.0,11.0,4.0,36.4,0.18,0.5,2021,Angers
13,2020-12-11,21:00,Ligue 1,Journée 14,Ven,Extérieur,N,0,0,Saint-Étienne,0.6,1.4,38.0,,Ismaël Traoré,4-2-3-1,Jérôme Miguelgorry,Rapport de match,,16.3,1.0,0.0,0.0,0.0,8.0,3.0,37.5,0.0,0.0,2021,Angers
14,2020-12-16,19:00,Ligue 1,Journée 15,Mer,Domicile,D,0,2,Strasbourg,0.3,0.6,56.0,,Ismaël Traoré,4-2-3-1,Bastien Dechepy,Rapport de match,,19.9,1.0,0.0,0.0,0.0,8.0,2.0,25.0,0.0,0.0,2021,Angers
15,2020-12-20,15:00,Ligue 1,Journée 16,Dim,Extérieur,N,1,1,Nantes,1.0,0.7,40.0,,Ismaël Traoré,4-2-3-1,Willy Delajod,Rapport de match,,18.0,1.0,0.0,0.0,1.0,12.0,6.0,50.0,0.08,0.17,2021,Angers
16,2020-12-23,21:00,Ligue 1,Journée 17,Mer,Domicile,V,2,1,Marseille,1.0,1.3,32.0,,Ismaël Traoré,4-2-3-1,Hakim Ben El Hadj Salem,Rapport de match,,15.8,0.0,0.0,0.0,2.0,9.0,2.0,22.2,0.22,1.0,2021,Angers
17,2021-01-06,21:00,Ligue 1,Journée 18,Mer,Extérieur,V,2,1,Lille,0.4,0.5,35.0,,Ismaël Traoré,4-2-3-1,Thomas Léonard,Rapport de match,,18.7,0.0,0.0,0.0,2.0,7.0,3.0,42.9,0.29,0.67,2021,Angers
18,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Extérieur,D,0,3,Monaco,0.5,2.5,44.0,,Ismaël Traoré,4-2-3-1,Benoît Bastien,Rapport de match,,15.9,0.0,0.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,2021,Angers
19,2021-01-16,21:00,Ligue 1,Journée 20,Sam,Domicile,D,0,1,Paris S-G,0.9,1.5,39.0,,Ismaël Traoré,4-4-2,Amaury Delerue,Rapport de match,,19.0,0.0,0.0,0.0,0.0,11.0,4.0,36.4,0.0,0.0,2021,Angers
20,2021-01-24,13:00,Ligue 1,Journée 21,Dim,Extérieur,D,1,2,Bordeaux,1.7,0.8,54.0,,Ismaël Traoré,4-2-3-1,Florent Batta,Rapport de match,,14.9,1.0,0.0,0.0,1.0,15.0,7.0,46.7,0.07,0.14,2021,Angers
21,2021-01-31,15:00,Ligue 1,Journée 22,Dim,Domicile,V,3,1,Nîmes,1.5,0.5,40.0,,Ismaël Traoré,4-2-3-1,Ruddy Buquet,Rapport de match,,18.3,0.0,0.0,0.0,3.0,12.0,5.0,41.7,0.25,0.6,2021,Angers
22,2021-02-03,19:00,Ligue 1,Journée 23,Mer,Extérieur,N,0,0,Reims,0.3,0.9,43.0,,Thomas Mangani,4-2-3-1,Aurélien Petit,Rapport de match,,22.6,1.0,0.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,2021,Angers
23,2021-02-07,15:00,Ligue 1,Journée 24,Dim,Extérieur,D,0,3,Nice,0.7,1.3,49.0,,Ismaël Traoré,4-2-3-1,Jérôme Miguelgorry,Rapport de match,,19.0,1.0,0.0,0.0,0.0,11.0,3.0,27.3,0.0,0.0,2021,Angers
25,2021-02-14,15:00,Ligue 1,Journée 25,Dim,Domicile,D,1,3,Nantes,1.4,1.9,66.0,,Ismaël Traoré,4-2-3-1,François Letexier,Rapport de match,,13.7,0.0,1.0,1.0,1.0,7.0,2.0,28.6,0.0,0.0,2021,Angers
26,2021-02-21,15:00,Ligue 1,Journée 26,Dim,Extérieur,N,0,0,Strasbourg,0.3,1.3,42.0,,Ismaël Traoré,4-2-3-1,Hakim Ben El Hadj Salem,Rapport de match,,21.1,0.0,0.0,0.0,0.0,8.0,3.0,37.5,0.0,0.0,2021,Angers
27,2021-02-28,15:00,Ligue 1,Journée 27,Dim,Domicile,N,2,2,Lens,1.6,1.6,39.0,,Ismaël Traoré,4-2-3-1,Bastien Dechepy,Rapport de match,,18.7,0.0,1.0,1.0,2.0,5.0,2.0,40.0,0.2,0.5,2021,Angers
28,2021-03-03,19:00,Ligue 1,Journée 28,Mer,Extérieur,V,1,0,Metz,1.1,0.8,36.0,,Ismaël Traoré,3-4-3,Johan Hamel,Rapport de match,,21.6,0.0,1.0,1.0,1.0,7.0,3.0,42.9,0.0,0.0,2021,Angers
30,2021-03-13,13:00,Ligue 1,Journée 29,Sam,Domicile,D,0,1,Saint-Étienne,0.3,0.7,56.0,,Ismaël Traoré,4-2-3-1,Benoît Millot,Rapport de match,,19.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,2021,Angers
31,2021-03-21,15:00,Ligue 1,Journée 30,Dim,Extérieur,N,0,0,Brest,1.0,0.5,47.0,,Ismaël Traoré,4-4-1-1,Aurélien Petit,Rapport de match,,21.4,1.0,0.0,0.0,0.0,15.0,5.0,33.3,0.0,0.0,2021,Angers
32,2021-04-04,13:00,Ligue 1,Journée 31,Dim,Domicile,N,1,1,Montpellier,1.3,1.7,62.0,,Ismaël Traoré,4-4-1-1,Florent Batta,Rapport de match,,18.4,1.0,0.0,0.0,1.0,14.0,4.0,28.6,0.07,0.25,2021,Angers
34,2021-04-11,21:00,Ligue 1,Journée 32,Dim,Extérieur,D,0,3,Lyon,0.9,3.0,46.0,,Ismaël Traoré,3-5-2,Mikael Lesage,Rapport de match,,13.5,0.0,0.0,0.0,0.0,11.0,3.0,27.3,0.0,0.0,2021,Angers
35,2021-04-17,12:45,Ligue 1,Journée 33,Sam,Domicile,D,0,3,Rennes,0.9,1.5,41.0,,Ismaël Traoré,4-3-3,Thomas Léonard,Rapport de match,,20.6,0.0,0.0,0.0,0.0,10.0,3.0,30.0,0.0,0.0,2021,Angers
37,2021-04-25,17:05,Ligue 1,Journée 34,Dim,Domicile,D,0,1,Monaco,0.1,1.3,41.0,,Ismaël Traoré,3-5-2,Hakim Ben El Hadj Salem,Rapport de match,,31.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,2021,Angers
38,2021-05-02,15:00,Ligue 1,Journée 35,Dim,Extérieur,D,0,2,Lorient,0.8,1.8,51.0,,Ismaël Traoré,3-5-2,Willy Delajod,Rapport de match,,24.1,0.0,0.0,0.0,0.0,9.0,2.0,22.2,0.0,0.0,2021,Angers
39,2021-05-09,15:00,Ligue 1,Journée 36,Dim,Domicile,V,3,0,Dijon,1.7,0.5,44.0,,Thomas Mangani,4-2-3-1,Jérôme Brisard,Rapport de match,,15.7,1.0,0.0,0.0,2.0,12.0,5.0,41.7,0.17,0.4,2021,Angers
40,2021-05-16,21:00,Ligue 1,Journée 37,Dim,Extérieur,D,2,3,Marseille,1.3,2.7,47.0,,Thomas Mangani,4-2-3-1,Franck Schneider,Rapport de match,,17.7,1.0,0.0,0.0,2.0,11.0,5.0,45.5,0.18,0.4,2021,Angers
41,2021-05-23,21:00,Ligue 1,Journée 38,Dim,Domicile,D,1,2,Lille,0.9,1.3,57.0,,Romain Thomas,4-2-3-1,Benoît Bastien,Rapport de match,,17.4,1.0,0.0,0.0,1.0,10.0,4.0,40.0,0.1,0.25,2021,Angers
0,2020-08-23,13:00,Ligue 1,Journée 1,Dim,Extérieur,N,2,2,Monaco,1.3,2.0,25.0,,Yunis Abdelhamid,4-2-3-1,François Letexier,Rapport de match,,15.4,0.0,0.0,0.0,2.0,8.0,3.0,37.5,0.25,0.67,2021,Reims
1,2020-08-30,13:00,Ligue 1,Journée 2,Dim,Domicile,D,0,1,Lille,0.2,1.1,51.0,,Yunis Abdelhamid,4-1-4-1,Stéphanie Frappart,Rapport de match,,24.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,2021,Reims
2,2020-09-13,15:00,Ligue 1,Journée 3,Dim,Extérieur,D,0,1,Angers,0.3,2.0,43.0,,Xavier Chavalerin,4-4-2,Benoît Bastien,Rapport de match,,17.4,1.0,0.0,0.0,0.0,7.0,2.0,28.6,0.0,0.0,2021,Reims
4,2020-09-20,15:00,Ligue 1,Journée 4,Dim,Extérieur,D,1,2,Metz,1.4,0.9,41.0,,Yunis Abdelhamid,4-2-3-1,Johan Hamel,Rapport de match,,21.7,0.0,1.0,1.0,1.0,9.0,3.0,33.3,0.0,0.0,2021,Reims
6,2020-09-27,21:00,Ligue 1,Journée 5,Dim,Domicile,D,0,2,Paris S-G,0.2,4.4,36.0,,Yunis Abdelhamid,4-1-4-1,Ruddy Buquet,Rapport de match,,23.3,0.0,0.0,0.0,0.0,8.0,3.0,37.5,0.0,0.0,2021,Reims
7,2020-10-04,17:00,Ligue 1,Journée 6,Dim,Extérieur,N,2,2,Rennes,1.2,2.0,27.0,,Yunis Abdelhamid,4-4-2,Florent Batta,Rapport de match,,14.2,0.0,0.0,0.0,2.0,9.0,4.0,44.4,0.22,0.5,2021,Reims
8,2020-10-17,17:00,Ligue 1,Journée 7,Sam,Domicile,D,1,3,Lorient,0.4,2.6,47.0,,Yunis Abdelhamid,4-2-3-1,Mikael Lesage,Rapport de match,,17.3,0.0,0.0,0.0,1.0,6.0,3.0,50.0,0.17,0.33,2021,Reims
9,2020-10-25,15:00,Ligue 1,Journée 8,Dim,Extérieur,V,4,0,Montpellier,4.0,0.2,66.0,,Yunis Abdelhamid,4-4-2,Willy Delajod,Rapport de match,,16.5,1.0,2.0,2.0,4.0,22.0,7.0,31.8,0.09,0.29,2021,Reims
10,2020-11-01,15:00,Ligue 1,Journée 9,Dim,Domicile,V,2,1,Strasbourg,0.7,1.9,51.0,,Yunis Abdelhamid,4-4-2,Eric Wattellier,Rapport de match,,24.2,1.0,0.0,0.0,1.0,11.0,4.0,36.4,0.09,0.25,2021,Reims
11,2020-11-08,15:00,Ligue 1,Journée 10,Dim,Extérieur,N,4,4,Lens,1.4,1.5,37.0,,Yunis Abdelhamid,4-4-2,Thomas Léonard,Rapport de match,,16.9,0.0,0.0,0.0,3.0,9.0,6.0,66.7,0.33,0.5,2021,Reims
12,2020-11-22,15:00,Ligue 1,Journée 11,Dim,Domicile,D,0,1,Nîmes,1.0,1.1,70.0,,Yunis Abdelhamid,4-4-2,Jeremy Stinat,Rapport de match,,20.3,1.0,0.0,0.0,0.0,16.0,6.0,37.5,0.0,0.0,2021,Reims
13,2020-11-29,13:00,Ligue 1,Journée 12,Dim,Extérieur,D,0,3,Lyon,0.4,2.6,36.0,,Yunis Abdelhamid,4-4-2,Jérôme Miguelgorry,Rapport de match,,23.7,1.0,0.0,0.0,0.0,9.0,2.0,22.2,0.0,0.0,2021,Reims
14,2020-12-06,17:00,Ligue 1,Journée 13,Dim,Domicile,N,0,0,Nice,0.5,0.8,36.0,,Yunis Abdelhamid,4-2-3-1,Stéphanie Frappart,Rapport de match,,21.1,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,2021,Reims
15,2020-12-13,15:00,Ligue 1,Journée 14,Dim,Extérieur,D,1,2,Brest,0.7,2.5,48.0,,Yunis Abdelhamid,4-4-2,Aurélien Petit,Rapport de match,,17.0,0.0,0.0,0.0,1.0,10.0,4.0,40.0,0.1,0.25,2021,Reims
16,2020-12-16,19:00,Ligue 1,Journée 15,Mer,Domicile,V,3,2,Nantes,1.6,1.5,46.0,,Yunis Abdelhamid,4-4-2,Karim Abed,Rapport de match,,18.1,1.0,1.0,1.0,3.0,12.0,3.0,25.0,0.17,0.67,2021,Reims
17,2020-12-19,19:00,Ligue 1,Journée 16,Sam,Extérieur,N,1,1,Marseille,0.2,2.2,30.0,,Yunis Abdelhamid,4-1-4-1,Thomas Léonard,Rapport de match,,21.5,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,2021,Reims
18,2020-12-23,19:00,Ligue 1,Journée 17,Mer,Extérieur,V,3,1,Bordeaux,1.4,1.2,38.0,,Yunis Abdelhamid,4-1-4-1,Jérôme Brisard,Rapport de match,,19.4,0.0,0.0,0.0,3.0,10.0,5.0,50.0,0.3,0.6,2021,Reims
19,2021-01-06,21:00,Ligue 1,Journée 18,Mer,Domicile,N,0,0,Dijon,0.6,0.2,57.0,,Yunis Abdelhamid,4-1-4-1,Amaury Delerue,Rapport de match,,19.8,1.0,0.0,0.0,0.0,9.0,3.0,33.3,0.0,0.0,2021,Reims
20,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Domicile,V,3,1,Saint-Étienne,1.4,1.2,37.0,,Yunis Abdelhamid,4-1-4-1,Florent Batta,Rapport de match,,19.4,1.0,1.0,1.0,3.0,6.0,2.0,33.3,0.33,1.0,2021,Reims
21,2021-01-17,17:00,Ligue 1,Journée 20,Dim,Extérieur,D,1,2,Lille,0.5,1.7,40.0,,Yunis Abdelhamid,4-1-4-1,Benoît Millot,Rapport de match,,21.3,0.0,0.0,0.0,1.0,8.0,4.0,50.0,0.13,0.25,2021,Reims
22,2021-01-24,15:00,Ligue 1,Journée 21,Dim,Domicile,V,1,0,Brest,1.0,0.8,36.0,,Yunis Abdelhamid,4-1-4-1,Johan Hamel,Rapport de match,,17.3,0.0,0.0,0.0,1.0,12.0,2.0,16.7,0.08,0.5,2021,Reims
23,2021-01-31,15:00,Ligue 1,Journée 22,Dim,Extérieur,V,1,0,Strasbourg,1.3,1.2,52.0,,Yunis Abdelhamid,4-1-4-1,Stéphanie Frappart,Rapport de match,,18.5,0.0,0.0,0.0,1.0,10.0,5.0,50.0,0.1,0.2,2021,Reims
24,2021-02-03,19:00,Ligue 1,Journée 23,Mer,Domicile,N,0,0,Angers,0.9,0.3,57.0,,Yunis Abdelhamid,4-1-4-1,Aurélien Petit,Rapport de match,,19.3,1.0,0.0,0.0,0.0,10.0,2.0,20.0,0.0,0.0,2021,Reims
25,2021-02-06,17:00,Ligue 1,Journée 24,Sam,Extérieur,D,0,1,Lorient,1.0,0.8,60.0,,Yunis Abdelhamid,4-1-4-1,Thomas Léonard,Rapport de match,,20.3,1.0,0.0,0.0,0.0,13.0,3.0,23.1,0.0,0.0,2021,Reims
27,2021-02-13,19:00,Ligue 1,Journée 25,Sam,Domicile,N,1,1,Lens,0.6,3.3,37.0,,Xavier Chavalerin,4-1-4-1,Eric Wattellier,Rapport de match,,18.0,0.0,0.0,0.0,1.0,9.0,6.0,66.7,0.11,0.17,2021,Reims
28,2021-02-20,13:00,Ligue 1,Journée 26,Sam,Extérieur,N,1,1,Saint-Étienne,0.4,2.1,51.0,,Thomas Foket,4-1-4-1,Antony Gautier,Rapport de match,,9.0,0.0,0.0,0.0,1.0,4.0,2.0,50.0,0.25,0.5,2021,Reims
29,2021-02-28,15:00,Ligue 1,Journée 27,Dim,Domicile,N,0,0,Montpellier,0.6,0.5,57.0,,Yunis Abdelhamid,4-1-4-1,François Letexier,Rapport de match,,17.7,1.0,0.0,0.0,0.0,11.0,2.0,18.2,0.0,0.0,2021,Reims
30,2021-03-03,21:00,Ligue 1,Journée 28,Mer,Extérieur,V,2,1,Nantes,0.6,1.3,51.0,,Yunis Abdelhamid,4-1-4-1,Willy Delajod,Rapport de match,,8.9,0.0,0.0,0.0,2.0,4.0,2.0,50.0,0.5,1.0,2021,Reims
31,2021-03-12,21:00,Ligue 1,Journée 29,Ven,Domicile,N,1,1,Lyon,0.8,1.8,33.0,,Yunis Abdelhamid,4-2-3-1,Jérôme Brisard,Rapport de match,,19.6,0.0,0.0,0.0,1.0,15.0,5.0,33.3,0.07,0.2,2021,Reims
32,2021-03-21,15:00,Ligue 1,Journée 30,Dim,Extérieur,V,1,0,Dijon,1.1,0.9,46.0,,Yunis Abdelhamid,4-1-4-1,Benoît Bastien,Rapport de match,,20.4,1.0,0.0,0.0,1.0,9.0,2.0,22.2,0.11,0.5,2021,Reims
33,2021-04-04,15:00,Ligue 1,Journée 31,Dim,Domicile,N,2,2,Rennes,1.2,1.8,43.0,,Xavier Chavalerin,4-1-4-1,Karim Abed,Rapport de match,,21.6,1.0,0.0,0.0,2.0,9.0,4.0,44.4,0.22,0.5,2021,Reims
34,2021-04-11,15:00,Ligue 1,Journée 32,Dim,Extérieur,N,0,0,Nice,0.5,0.6,46.0,,Yunis Abdelhamid,4-3-3,Jeremy Stinat,Rapport de match,,18.3,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,0.0,2021,Reims
35,2021-04-18,15:00,Ligue 1,Journée 33,Dim,Domicile,N,0,0,Metz,0.9,0.4,50.0,,Yunis Abdelhamid,4-4-2,Jérôme Miguelgorry,Rapport de match,,18.6,0.0,0.0,0.0,0.0,14.0,6.0,42.9,0.0,0.0,2021,Reims
36,2021-04-23,21:00,Ligue 1,Journée 34,Ven,Domicile,D,1,3,Marseille,0.8,2.2,41.0,,Yunis Abdelhamid,4-1-4-1,Eric Wattellier,Rapport de match,,18.9,0.0,0.0,0.0,1.0,10.0,1.0,10.0,0.1,1.0,2021,Reims
37,2021-05-02,15:00,Ligue 1,Journée 35,Dim,Extérieur,N,2,2,Nîmes,1.0,2.6,48.0,,Yunis Abdelhamid,4-3-3,Benoît Millot,Rapport de match,,23.5,1.0,0.0,0.0,2.0,12.0,7.0,58.3,0.17,0.29,2021,Reims
38,2021-05-09,17:05,Ligue 1,Journée 36,Dim,Domicile,D,0,1,Monaco,0.3,1.1,40.0,,Yunis Abdelhamid,4-1-4-1,Antony Gautier,Rapport de match,,18.4,0.0,0.0,0.0,0.0,8.0,2.0,25.0,0.0,0.0,2021,Reims
39,2021-05-16,21:00,Ligue 1,Journée 37,Dim,Extérieur,D,0,4,Paris S-G,0.1,4.6,43.0,,Yunis Abdelhamid,4-5-1,Clément Turpin,Rapport de match,,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2021,Reims
